date; entreprise; etat; lien
09/01; Ezus; fullstack, back en python;https://www.linkedin.com/jobs/view/4001686432/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=L%2FWXAZ3Af6sujjYJKk%2FWjQ%3D%3D&trackingId=UCIZdaKTfDxz6WhkveZdWA%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_job_collections_discovery_landing%3BlreoJ6ekR0OWxdWuZLQiuw%3D%3D&lici=UCIZdaKTfDxz6WhkveZdWA%3D%3D
09/01; Coders Connect; interessant mais poste d'il y a 1 mois;https://www.linkedin.com/jobs/view/4099089897/?eBP=CwEAAAGUS0mxKZ8-_9EHEfxbBYOcq3eywJnmEEkdMynUY6aqTkO1vdvb6Ica7EXexGgBC-R-oWo4ln_2IWWJHVyBFjV2r3NCfURP-4MJzeZNQpE7d7QwULKsGRZFXOzCAkO9XmHEbYv0MmNsL6H5eO1NNA4rTaiA_ygD0cnPAFgPcjRrX2GfnCNdCqbpA2abh9e_3dWbxrYdtNEYj4IQCAu-M2S0PZ9CCgcXFxYQbuJBNETfCJVgzp7-foRKTTuyWP0hrUxpyTC1apVxBV0-glny-6o4M6pK0Ey4TUbkF7chURoYqtJ3K59EF_E1wZVPyqsBPulwJ35Mty7_iJmhoY485e4pm9gQ4MhPZ4QqIltHevN6bs62HezRx4xe2J8TdXszZikNQLlP0lxQ0wZYUYTNLCbUKz9dYy3ycMYSOhUPFpkbr_Zd8Dx5n-KkNkMfs3LAFJULpZRaH2wfLqDgBGEjsaMmI9sgZ59lvoYu8P5FAaJm3Q&refId=L%2FWXAZ3Af6sujjYJKk%2FWjQ%3D%3D&trackingId=FdBLZnW3Nd16GbLZ5mBTOA%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_job_collections_discovery_landing%3B4xsdegFJSkqs2hnFPv9DKw%3D%3D&lici=FdBLZnW3Nd16GbLZ5mBTOA%3D%3D
09/01; Dental Monitoring; full front;https://dentalmonitoring.bamboohr.com/careers/805?source=aWQ9NA%3D%3D
09/01; Sander; entreprise de recrutement pour d'autre entreprise, moins de 50k;https://www.linkedin.com/jobs/view/4117958635/?eBP=CwEAAAGUS18A1ZCCYrAj2dmIqFNPKFhiO_sB-bAt1oQh3d_w2miqWPPl9btncu-PIBkqrhYYiaxPyAhGdPS55-44Tc6k2TqyTlNcAH31qhsWC6rytLQi7BLAABTOhwYuUUFHFWLN7FB-qvtmmGFtr4tSHo28qgXCOa4bnlK5jWXJDuMrP8r0RHoy8Gkle61eBg4w1DDu0BfyOfxwPSqO-Xs66enZkyi2y-FSwfEZktlROfZv8Xf6FiRYyUjIp2CBcPJvIC6Q71TP7nAFEy8F6JpPA6kdzbxcAai0P8kNsTyjREx8ZDyK3Qz625lnmhts10dhg7QnGyC66uXzIQO8eTOTGHZyvsI5Kq9vXOV17fgRdy2cfVZi1C-89Qd9BVVcJV69ZA0SVsX9ONAtH9Oclj0cxprrvexP5ZHs97ZOf9bH_NubblRBX1KCExnx3UqZFHzpjNb6IY4OURxA7diROV9Y_vqHKHKMLBrcpkMG0wHiRvZDhfI8Elr_1wq8PZW5yoUaD6nIhLh09dihi7gG&refId=nSLVC0VnHy7zrQGt005fXQ%3D%3D&trackingId=LZEWQV%2BgNXYh5MonMP7cxA%3D%3D&trk=flagship3_job_collections_leaf_page&lipi=urn%3Ali%3Apage%3Ad_flagship3_job_collections_discovery_landing%3B1k8A3%2FpmRSeWIVfqVd1TXw%3D%3D&lici=LZEWQV%2BgNXYh5MonMP7cxA%3D%3D
10/01; Harrington Starr; React/Node; https://www.linkedin.com/jobs/view/4121106136/?eBP=CwEAAAGUUJazS4bMj1iZq5UUxQGGiHGjm9moGkn0yFSRoCsQsi0dkfzFNO0JZwZshS-A0uq2SUsv_pSK6mkxiR2T5o9U4mG4-xQ5S3g1jN503kGWBsP9-qcU2GACsBelhCBoCyTbucGpRmQnyXVuTHj2iJSjMl73U25OheJleM-yY56MvAc3LeKsOUZcdfPNAZmjviBbM7d2_FUQ9INuJKletYPNJTbMnsTz5hsiwa3PqgcyRiWZqMA21DeQtEFwvuoMFB-3at2mKH_AP9VQ9CfP51ShjJMmV3yE6QrTACxs5Zek6sN9UyZv5jGMOWjkBhdr9i68zzzR-8sfdRjHUUx6ToYGB9AuLucMME--IVPbRViIVo6i8BfRFl8N9ylFmuT6sdfcFr53q7PDC2tcfoM7yyq4Ju-JhRekW3wAshzaC8qhuCWCFgH33Wy8aC1cl3y72KoKvZtohqgWmXEXqaLk2QsPSNXE8vaYSTvuS4Wq3bNmIVyoaZLzdpxWSxG_FdMYRYJKGsBRhg&refId=VIgWJoycsJvFjt%2BvHryqiQ%3D%3D&trackingId=ELmbHxjViV9qyVhveYjABA%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BHdX05LlbTyqjb6E1sf5L%2FA%3D%3D&lici=ELmbHxjViV9qyVhveYjABA%3D%3D
12/01; Staycation; React; https://www.linkedin.com/jobs/view/4106778850/?refId=eacfff7c-6918-498e-997c-ed4c39c7ae39&trackingId=15XGCM96RBS88llo4AbPQA%3D%3D&trk=flagship3_job_home_appliedjobs
12/01; Urban Linker; dev fullstack mais pas d'info sur le langage;https://www.linkedin.com/jobs/view/4122794687/?eBP=CwEAAAGUXug6Gh2XBek2hbZLZyEpN8f-OH4jfi71aRi4mvYiybi-Oa0KgiZdem7VAAPmj7_ypk6Y9AXQ1mfwC9VOIu9mgDpwNqvobnuV1wzAfGzFt4_--9JsLt48HH-sQVqdLz94jKsfx2X6XDbDF2OPyhFEJg4ot8pP4VetJYuaWzPmitw9KRut0SbSUayD25s2E3iXlu3g5natSbgMMvgOpGq0D6NisGnpES_Kwjf6ICcWZD5XqbcwLRRVliAEFWB1wuQ0ZSrDrLbg8FsLXS7oPk1a2aOuN3Khe-VyLqD0NaCh6MUJqkzhEvoCQMiiTbOK2pCUGfZNQu_wI_8jWpFmi_66uOhSEZWnb4F3KSA-bMfY8VMKWWRCsoGHC03XJ2rM&refId=7bd76dcb-a022-37a0-85f5-86d4a585c268&trackingId=gDkmqz4T1UJheuCAoO61AA%3D%3D
13/01; Software Club; etre le premier dev fullstack de l'équipe; MP linkedin
14/01; Doctrine; React/Node; https://www.linkedin.com/jobs/view/3959573319/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=grZiou5ziAMBcJdxPhuRjw%3D%3D&trackingId=mN6ojQk7wxNJl3IeMSpOrg%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_job_collections_discovery_landing%3Bduln3f1iSO%2BCuoYOvEeE%2Bw%3D%3D&lici=mN6ojQk7wxNJl3IeMSpOrg%3D%3D
15/01; Kraaft; React/React-native/Node;https://www.welcometothejungle.com/fr/companies/kraaft/jobs/software-engineer-react-native-full-stack_paris
15/01; Ferway; React/Node; https://www.welcometothejungle.com/fr/companies/ferway/jobs/ingenieur-e-developpement-react-js_paris
15/01; Beev; React; https://www.welcometothejungle.com/fr/companies/beev/jobs/fullstack-dev-h-f
15/01; HappyPal; React/Node; https://www.welcometothejungle.com/fr/companies/happypal-2/jobs/developpeur-senior-fullstack_paris?q=61cb26758d7d49c802d743c0cc7fbae2&o=c6be23fe-75e7-4ca4-92e9-f7b4ca653494
16/01; Flynt; React/Node, réponse pour un premier contact, Lundi 15h00; https://www.welcometothejungle.com/fr/companies/flynt/jobs/senior-fullstack-developer-react-node_paris_FLYNT_MaLWmqR?q=c9790d21358aab1f9e3e0e476e96e428&o=243729c1-ed36-4b5e-93ec-1d1d8fcc6818
16/01; Treso2; React/Node, Entretien technique à passer; https://www.welcometothejungle.com/fr/companies/pytheas-capital-treso2/jobs/senior-developpeuse-ou-developpeur-fullstack-javascript_paris?q=b482e5759a54ae1cb5681abb5f63e760&o=1bb0682e-1030-4a33-a15b-ff05be157718
16/01; Homepilot; Vue.js/Node; https://www.welcometothejungle.com/fr/companies/homepilot/jobs/developpeur-fullstack-nodejs-vuejs-h-f_paris?q=b482e5759a54ae1cb5681abb5f63e760&o=79799d81-3c8a-4406-b146-99d674d2707d
17/01; Ekimetrics; React/react-Native/python; https://www.linkedin.com/jobs/view/4106960864/?eBP=CwEAAAGUc9avgB0R8PWx5zIxIpiVohXP76Hu9LGcO4FyT2BfF9h9U0ziB9tijEE6ruofmUTPLymdvEWr7WWGwbhu0I1uF7fnsw2WsMT7B2hOOPiv1M_ddlIvMTPnebgE-Mtn4gvTzJR0iy0tnFSrlDb6NGJ1hJ2mzu3mQsCZ5cKHv2eJEGKerd__oPhCe-GAUjPzrVq6VmBkhh2hJY3I4Z60KoE3oDDaGyoTsA31BdTynvcbQXqUJk2ZRgTDXZ-cTwLOZO9zzW5QeCBNCRjRyvhxJZ60nlDEI7fu9VUPjbZuSrfWwafOMM5c-caY1URhsVznBY-iYyzruYZ7JXTCypdsTuEvTwq9OrPd5mefuL8KCPdAFJlvhposQXvhOFLRKiCke8H762pfcyn0pKhQaxvIPj-A9jzS1mBpuAnTMxrOYNEdRA_RCY4im3UXhZ7zL9JDloo_jo4EFsE5E8jY18WsKU_c0zVw6A3TQo9_qg&refId=1OjvxzJD1F7aeVBJ3R7ggg%3D%3D&trackingId=g46BaFSPf4Z4txDHKjqoiA%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_job_collections_discovery_landing%3BVJUX7DViRU%2Bs0gm8k6hQGg%3D%3D&lici=g46BaFSPf4Z4txDHKjqoiA%3D%3D
17/01; Believe; React, full front; https://www.linkedin.com/jobs/view/4127164838/?eBP=CwEAAAGUc9avgFf5rgfE8gAxoyFLizk2GoKv7KGZI2nac2vLrnxjnRqZ9Pp-PxJWa_zTC2HrV6XZKlJx4DCqNW_q02DT4JdNFup5M2pu-0tM5P6XKNSWJhk381-VaXpjbTykOjTlttB58jNunzNxKGdofCwqy2m9aiRHjtUrDsmdFBXzmNtUeMXcGZ3TJpqfeKTKkny3AakmrpS-fHgGpp5Rb6qw0dNZDAYspjfxT5cWRKH6mpwEOn9lBk0snbktRJLwpJKGQ_uUP31AkqQyH5_i0Lv5ihySbMRn5AYUKaCvslMdG10P3js8BykURLOG3SAddrelL3fUgxSkqOp3utcgotMr4r6obAhiydif6fS04tVcBOGVD3jTVdFvu5SzvKcq51S4ICJNPEsvfVebgyUDwpJvu7w9wjeUSQY3AlqFBO8k37xKfBIv33NuamTmqG6K-y1kQblKtaZQONunM2JQ5kd7wHeooNq2sGzju3O4&refId=1OjvxzJD1F7aeVBJ3R7ggg%3D%3D&trackingId=j5BowO20sulwKhpQm95pOw%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_job_collections_discovery_landing%3BieSjNWJHQju666Vc1OgrEw%3D%3D&lici=j5BowO20sulwKhpQm95pOw%3D%3D
17/01; HireSweet; React/Node/Nest; https://www.linkedin.com/jobs/view/4111047866/?eBP=CwEAAAGUc_Ig4OA0hRBuwuuDMcGcGrwZbHup706pOtFMTfMtB43YtaDAqGPBJDZsjKcj3rycGk6PVaGa97-HCu7LMWCnqa2VBGgwdKssQKaMN-_Kp8kTQyLL3YToYxpvm6j1E_EL1v0uThMubOP3LOtDYvUf_n8SDO-hxtKC1ZK6m3Cea3DkpAZnb3H-DLC6y1Leay6i0gQpU3Tfv04VOU83AEDODtSoI6UuFyPNPpIW-fURWFWnwWxuC1mO-_6Vb-P7hrPZ9GHBLNDN1jAErAKOL_lkouIzBMkIfya2Z9NHt5NX4hX5G8V7SnZGeg9MMbwYS9qPEdasGbF18igPJzVwAuO8UAT_46MwQ6J5xKCR60BaudxlmeYuTGKKAvK4Ta-WayYKhkqLmQB0VI1OmA_WVce1SLPI2l_D0YE_1fj-_Edu5QXg4TfMcJd8_qDmOmB9bye810NnOr1WPJFvxA5IrylzHki2xYT27Pp5jgEopiw&refId=%2FHl83dELS8dPKBcZTAESoQ%3D%3D&trackingId=ublQ5Pqogou7hButCk0O4w%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_job_collections_discovery_landing%3BG6%2F0QwCxR%2FWXS3TV9ZuS2Q%3D%3D&lici=ublQ5Pqogou7hButCk0O4w%3D%3D
17/01; Monk Ai; React/Node; https://www.linkedin.com/jobs/view/4088744876/?eBP=CwEAAAGUdIHXKkaDHONBEA8eld27YFKjTe2B52js6L_PBRNGwFtvoso1BzCTnad_RiHTJNLVbxQxWorQOUtSCkT-Y6bjk8jLoDZgbWkN3iKOdABaVRfCc_lTLyS0_MvKSA_dRiRjQof-0Es_mBXnfdMMYkJGC_DbYBCUcsx7Ce6SvOqAa0jXpWUcLWa051NVKzfCDmcV2LM2IMpfezYdvbvtsnQm-L8ZqC5JJcHw5TrRXWJUshFYPPNhCUaTCw-sAtSDSCC7odeHA69LjFowW1MF8FIkVxNxb27yx-mTx2KbIHLh4QvhzU9Ot3tFy8HU2I7i6tW9vhnk92loJyAoKZTTU7xp0MaUyef6N7qO0CAowpZOkuY09uIhRd6E5zwLhMxLN1bO-lGskIYyohRuYtN6PiwjJBlRSTbhO4bncwdLrYymPjPPqKDnLid3l7tVr6T3dMHJhfmvk1I9vO5kZPCDLaWr-gLvj3K-_19OQeIZsRVTatRrU3qFAUhBBQOr1r0hSP3vL9I&refId=Lh5orcCnXGl9hWTd0jVyiQ%3D%3D&trackingId=tcwaYyIZDKKxkAN1WDh48Q%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BqaNXeJD4S3GLXwcjXDJ42Q%3D%3D&lici=tcwaYyIZDKKxkAN1WDh48Q%3D%3D
17/01; Luckycart; React/Node; https://lucky-cart.welcomekit.co/companies/lucky-cart/jobs/senior-fullstack-javascript-developer_paris_LC_6oGJJjj
17/01; Dashlane; React/Node; https://www.linkedin.com/jobs/view/4123349762/?eBP=CwEAAAGUdJBYxm2h60UCFf3ueya2KZYC5PmlBQ9HLT-z_65GVQEsEHH8At7X1r5rN5aCCyuvOvAkEQ2WeTiOhBHBl8_OFi5omkQBHNcP6hH88V6yfxSbvKDvHn7y1VCcaoC_4FJ-BZI8qlSJiDp9rjp8wnhnx3no3KVUHo7mnDaOAUxFvHgoqZSGQHm484klB7wPm5zw_WMevMGkY961IbrkqbYmBcwY4D-HTvlsANVFnzCLpSnxTOfNX_687gvCP376Ib81gyr_FoMwrVlJ-tfmWcUm0Nltehb46oNeC7P2kUERNaMNr97dGg8vYzGxnre2WT_d1o4Xgudgzw1rBpAhJkHEYhdPiwBMIWr4eyw9WZuPcwOTLvbPWBlk9kQdy3u3uY-Zrbtz8i-5L5an2paYpdbsErTaVxpO3RNBXk57phJJTPM8ZllUKtsi0QC1GFhPpBZQ6m-9ucpb7wL6O9fAVhNw-KU_hoApuyDqyWQy3ydXtFPUMUI11MqvCyB5ZWWJCd2Ucxo&refId=mNo4fwflR%2BnsXTbhUTZczA%3D%3D&trackingId=tWin%2BKBPwipRBSDyOOVa0A%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3B6GdnUqxsTTCBmFy2I5dGMw%3D%3D&lici=tWin%2BKBPwipRBSDyOOVa0A%3D%3D
17/01; PrimRecrut; React/Node; https://www.linkedin.com/jobs/view/4126147836/?eBP=CwEAAAGUdJBYxz1HlNhQNz8LYr6jiTnqAH2YScUASWzHHNFYFkBcWagLWLRLLBZLUALXvQt7EXIGqy4D-Bi_trZywAPIKkWL5jM4OluKYro5mj2GFlnAMlnr9qpOzao-9zY6DLKrwmKCBDxtIzziUpf3iALjqbmIVSLlIJL6aYSWnybKiy7xWyy1Fr7N7-PSGrre1EFlQLnIMilD6WUREBr3xN7WodObtV_4_U9YAPARN0hFEYTwpTaXZrsgZhuTgjsth1EaDJHMm2EIxHpAOcgdb5ZrjKcfuA5BW2uCQV4DuhY3CEpC4rQ9hPyt2tVDbBssC5kAhFlP7nApbQ4rAgc21e8QuPrbe5DE1wfOC_BT7CEaJMw6M2e9zQlBGy4Nbn66ayK2xclomff3RdkA4aQ5GjZQfX6UiCk0CFgGVCbNwEWxlVA2TDajyZXP-Fg1qS2efj0oszje4zISRu-N6gCycuSVsEjUd_UjRXRTdNXsowBmmbKWrJI_UUq9S5vW&refId=mNo4fwflR%2BnsXTbhUTZczA%3D%3D&trackingId=0I8NnoatYvUxdU2KuLzz3Q%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BBujukM84SdK42K6bzdvU8g%3D%3D&lici=0I8NnoatYvUxdU2KuLzz3Q%3D%3D
20/01; Harrington Starr; React/Node; https://www.linkedin.com/jobs/view/4125741091/?eBP=CwEAAAGUg0snTrIglVPPoh3-v8WsjoAc7IwfxjaoUX3brL_RfS8B065Se1xyoyKuHQIFTtq44SN16OrHkS60ZSDJct75vkceSiFRnWcy0QRI-tcsXgzBpeFML4zLD5ANmw8raCwVzovgmkemS6ulA7pqI3Z3qeOCoU2EJsSJH6kAcwvcErTnnaaRziXJq4Ol-hXn7yWba9olkjctTzZZ6QzOOs7L9qu9cWyGbgEdVkslgls60FVQ90i-ACGTnLWk8N_x5X7Z6T5fSrRMwUzpVScIZvZAS1kmajg52SvUWtD-OeML_lcLJuop0RQ1qQyN_l0fjZOHswfkGFOusUNLhZDuXGzWmr-pbGPOQFr1rRar0-QY-g_7T-kCsvUcTksgJHhHCNkAIlXI5dG0lBStoDM4qDCFlgXa1kdGNaIYQZIqmldYeTYncXunTXsaRxZg0zXRCLABuBuSaXiSTRswQQv8pWNO1cXWz28_zihj9WJy0fI&refId=sbLgjaYQ9sYEX9VlT943xQ%3D%3D&trackingId=k33IO48XNrrWjhzhkjI40g%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_job_collections_discovery_landing%3BAQi6NemlQAW0vSfDUq9Ieg%3D%3D&lici=k33IO48XNrrWjhzhkjI40g%3D%3D
20/01; Upflow; React/Node; https://jobs.ashbyhq.com/upflow/852704b8-203b-4502-9425-761f653fbc79/application?utm_source=ynEMeEwlaq
21/01; Stakha; React/Nest; https://www.linkedin.com/jobs/view/4131116652/?eBP=CwEAAAGUiVa7SC-zYE64YsL61vtTtoGMINauqZQNK0df9-1bpZjL5nbX4XjkcZQU6ebKc_xO8PKaQvTboOCtLYveUz-LzkvpnZEVl0Dv835eKxlp5KLrVo22mTSuAbG6sE4O2H8lJRJNG53nULLwqcTF6FdfSEqX-b_3qx0x4vmROkHGBLVN9KLG4Gv0oYk4bM1K_nf7XjWfZldQI3XohLU21qXT5Ij9MGbdnspW5dcNUgVFag45JT6vag3ffi3n8BX8WFaf-Jg4EU5Njy__s5xQLY3YDIZujMrtLOGOdtwcPNAAXq7ncgDf9oo2_uJuVraCD4y4R9kN_cY6WRK9fvQvg__9_wKBb6csrfy6z3GKRS8RnqNSBLkFGNl5b4HsJQKuiyHvhIl1gepHxXwTe72TQaWp-Tvfj3SmInRdxtA_SWtDaBkjwUQPmR5uM_iZtpc3rLm63362wBE&refId=K9TtUv7vDDEBPjBp7Z%2FsEg%3D%3D&trackingId=y7AloiCTmaiKdIRLWZYl%2BQ%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_jobs_discovery_jymbii%3Bs1FZmoBTQfigld0tz%2FlqhQ%3D%3D&lici=y7AloiCTmaiKdIRLWZYl%2BQ%3D%3D
